particle_count,timesteps,threads,sample,time
10000,10,12,29,1.195
10000,10,12,30,1.194
12000,10,1,1,6.908
12000,10,1,2,6.996
12000,10,1,3,7.043
12000,10,1,4,7.009
12000,10,1,5,7.003
12000,10,1,6,6.946
12000,10,1,7,6.933
12000,10,1,8,6.976
12000,10,1,9,7.062
12000,10,1,10,6.976
12000,10,1,11,6.956
12000,10,1,12,6.946
12000,10,1,13,6.962
12000,10,1,14,6.879
12000,10,1,15,6.884
12000,10,1,16,6.931
12000,10,1,17,6.889
12000,10,1,18,6.882
12000,10,1,19,6.893
12000,10,1,20,6.933
12000,10,1,21,6.935
12000,10,1,22,6.891
12000,10,1,23,6.920
12000,10,1,24,6.918
12000,10,1,25,6.940
12000,10,1,26,6.940
12000,10,1,27,6.898
12000,10,1,28,6.894
